date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2006,14,N00004166,0.0,3.0,MI,66.21600000000001,66.625,0.0,0.0,113.139
2008,16,N00004166,0.0,2.0,MI,66.625,67.4,0.0,1.0,122.339
2010,18,N00004166,0.0,3.0,MI,67.4,0.0,0.0,0.0,2.0
2006,18,N00001003,0.0,4.0,NY,208.74900000000002,200.25,5.0,0.0,233.243
2008,20,N00001003,0.0,8.0,NY,200.25,190.0,0.0,0.0,276.447
2010,22,N00001003,0.0,6.0,NY,190.0,183.5,1.0,0.0,235.28
2012,24,N00001003,0.0,7.0,NY,183.5,200.5,0.0,1.0,280.505
2014,26,N00001003,0.0,5.0,NY,200.5,0.0,0.0,0.0,281.21
2006,12,N00001427,0.0,21.0,PA,341.99,580.052,4.0,0.0,620.731
2008,14,N00001427,0.0,11.0,PA,580.052,4.904,0.0,0.0,1787.1889999999999
2006,12,N00006619,0.0,13.0,NV,997.666,33.25,2.0,1.0,1225.138
2006,14,N00007335,0.0,1.0,CA,219.755,415.356,2.0,0.0,367.809
2008,16,N00007335,0.0,9.0,CA,415.356,407.78,3.0,0.0,411.966
2010,18,N00007335,0.0,3.0,CA,407.78,320.184,3.0,0.0,391.55699999999996
2012,20,N00007335,0.0,2.0,CA,320.184,300.939,2.0,0.0,389.36800000000005
2014,22,N00007335,0.0,2.0,CA,300.939,0.0,0.0,0.0,525.016
2006,14,N00003083,0.0,3.0,AL,206.24900000000002,131.898,0.0,0.0,193.31
2006,18,N00007632,0.0,2.0,AS,12.0,2.5,1.0,0.0,16.0
2008,20,N00007632,0.0,4.0,AS,2.5,1.0,1.0,0.0,15.0
2010,22,N00007632,0.0,4.0,AS,1.0,0.0,0.0,0.0,9.75
2012,24,N00007632,0.0,4.0,AS,0.0,0.0,0.0,0.0,10.75
2014,26,N00007632,0.0,1.0,AS,0.0,0.0,0.0,0.0,6.5
2006,14,N00007312,0.0,5.0,CA,146.75,236.71099999999998,3.0,0.0,252.803
2008,16,N00007312,0.0,4.0,CA,236.71099999999998,173.327,3.0,0.0,236.386
2010,18,N00007312,0.0,2.0,CA,173.327,165.082,1.0,0.0,244.22299999999998
