date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum,unemplag_1,logleg_totalbills,logamtsumlag_1,logamtsumfwd_1,logamtsum,exp_5_9,exp_10_19,exp20,post2009years,amtsum_5to9exp,amtsum_10to19exp,amtsum_exp20,amtsumlag1_5to9exp,amtsumlag1_10to19exp,amtsumlag1_exp20,amtsumfwd1_5to9exp,amtsumfwd1_10to19exp,amtsumfwd1_exp20,amtsum_post2009years,amtsumfwd1_post2009years,amtsumlag1_post2009years,logamtsum_5to9exp,logamtsum_10to19exp,logamtsum_exp20,logamtsumlag1_5to9exp,logamtsumlag1_10to19exp,logamtsumlag1_exp20,logamtsumfwd1_5to9exp,logamtsumfwd1_10to19exp,logamtsumfwd1_exp20,logamtsum_post2009years,logamtsumfwd1_post2009years,logamtsumlag1_post2009years
2010,18,N00004196,0.0,5.0,MI,334.2990000000001,0.0,0.0,0.0,68.0,13.7,1.6094379124341003,5.812035802096422,0.0,4.219507705176107,0,1,0,1,0.0,68.0,0.0,0.0,334.2990000000001,0.0,0.0,0.0,0.0,68.0,0.0,334.2990000000001,0.0,4.219507705176107,0.0,0.0,5.812035802096422,0.0,0.0,0.0,0.0,4.219507705176107,0.0,5.812035802096422
2008,20,N00003254,0.0,1.0,TN,611.545,466.011,0.0,0.0,654.114,4.7,0.0,6.415988541953583,6.144209238997263,6.483281648193246,0,0,1,2008,0.0,0.0,654.114,0.0,0.0,611.545,0.0,0.0,466.011,1313460.912,935750.0880000001,1227982.3599999999,0.0,0.0,6.483281648193246,0.0,0.0,6.415988541953583,0.0,0.0,6.144209238997263,13018.429549572038,12337.572151906505,12883.304992242794
2010,22,N00003254,0.0,2.0,TN,466.011,0.0,0.0,0.0,29.0,10.5,0.6931471805599453,6.144209238997263,0.0,3.367295829986474,0,0,1,1,0.0,0.0,29.0,0.0,0.0,466.011,0.0,0.0,0.0,29.0,0.0,466.011,0.0,0.0,3.367295829986474,0.0,0.0,6.144209238997263,0.0,0.0,0.0,3.367295829986474,0.0,6.144209238997263
2008,20,N00003350,0.0,1.0,MS,149.34799999999996,168.75,0.0,0.0,239.771,6.1,0.0,5.006279153209882,5.128418329752639,5.479684301168534,0,0,1,2008,0.0,0.0,239.771,0.0,0.0,149.34799999999996,0.0,0.0,168.75,481460.16799999995,338850.0,299890.7839999999,0.0,0.0,5.479684301168534,0.0,0.0,5.006279153209882,0.0,0.0,5.128418329752639,11003.206076746417,10297.8640061433,10052.608539645444
2010,22,N00003350,0.0,5.0,MS,168.75,0.0,0.0,0.0,422.893,9.5,1.6094379124341003,5.128418329752639,0.0,6.0471191919650025,0,0,1,1,0.0,0.0,422.893,0.0,0.0,168.75,0.0,0.0,0.0,422.893,0.0,168.75,0.0,0.0,6.0471191919650025,0.0,0.0,5.128418329752639,0.0,0.0,0.0,6.0471191919650025,0.0,5.128418329752639
2006,28,N00007256,0.0,12.0,CA,721.794,0.0,0.0,1.0,116.352,5.4,2.4849066497880004,6.581739779622185,0.0,4.756620079114959,0,0,1,2006,0.0,0.0,116.352,0.0,0.0,721.794,0.0,0.0,0.0,233402.112,0.0,1447918.764,0.0,0.0,4.756620079114959,0.0,0.0,6.581739779622185,0.0,0.0,0.0,9541.779878704607,0.0,13202.969997922104
2006,18,N00006246,0.0,10.0,WY,601.591,3.0,0.0,0.0,542.876,3.6,2.302585092994046,6.399577812417344,1.0986122886681098,6.296880932897959,0,1,0,2006,0.0,542.876,0.0,0.0,601.591,0.0,0.0,3.0,0.0,1089009.256,6018.0,1206791.546,0.0,6.296880932897959,0.0,0.0,6.399577812417344,0.0,0.0,1.0986122886681098,0.0,12631.543151393305,2203.816251068228,12837.553091709191
2006,14,N00003288,0.0,3.0,MS,373.268,641.44,3.0,0.0,531.974,7.5,1.0986122886681098,5.922296660306744,6.463715648894197,6.27659461596691,0,1,0,2006,0.0,531.974,0.0,0.0,373.268,0.0,0.0,641.44,0.0,1067139.844,1286728.6400000001,748775.6079999999,0.0,6.27659461596691,0.0,0.0,5.922296660306744,0.0,0.0,6.463715648894197,0.0,12590.84879962962,12966.213591681759,11880.127100575328
2008,16,N00003288,0.0,11.0,MS,641.44,654.925,1.0,2.0,655.41,6.1,2.3978952727983707,6.463715648894197,6.484520725262396,6.4852609940061114,0,1,0,2008,0.0,655.41,0.0,0.0,641.44,0.0,0.0,654.925,0.0,1316063.28,1315089.4,1288011.52,0.0,6.4852609940061114,0.0,0.0,6.463715648894197,0.0,0.0,6.484520725262396,0.0,13022.404075964272,13020.917616326891,12979.141022979547
2010,18,N00003288,0.0,7.0,MS,654.925,449.0,0.0,0.0,444.166,9.5,1.9459101490553132,6.484520725262396,6.1070228877422545,6.096198366432677,0,1,0,1,0.0,444.166,0.0,0.0,654.925,0.0,0.0,449.0,0.0,444.166,449.0,654.925,0.0,6.096198366432677,0.0,0.0,6.484520725262396,0.0,0.0,6.1070228877422545,0.0,6.096198366432677,6.1070228877422545,6.484520725262396
